company,platform,followers,posts,Last Post View,Last Post Like,last_post_comments,engagement_rate,
Good Molecules,Instagram,"774,848 ","2,207 ",—,40 ,3 ,0.06%,
Good Molecules,TikTok,—,—,—,—,—,0.00%,
Good Molecules,YouTube,—,—,—,—,—,0.00%,
Mad Hippie,Instagram,"24,847 ","1,114 ",—,37 ,2 ,1.57%,
Mad Hippie,TikTok,—,—,—,—,—,0.00%,
Mad Hippie,YouTube,—,—,—,—,—,0.00%,
Black Girl Sunscreen,Instagram,"203,491 ",82 ,—,117 ,9 ,0.62%,
Black Girl Sunscreen,TikTok,"29,700 ",87 ,"1,635 ",—,3 ,55.15%,
Black Girl Sunscreen,YouTube,—,—,—,—,—,0.00%,
ArtNaturals,Instagram,"59,726 ","1,502 ",—,7 ,0 ,0.12%,
ArtNaturals,TikTok,"446,500 ",653 ,"2,300,000 ",—,"1,173 ",5153.80%,
ArtNaturals,YouTube,—,—,—,—,—,0.00%,
Mav Beauty Brands Inc,Instagram,241 ,0 ,—,—,—,0.00%,
Mav Beauty Brands Inc,TikTok,—,—,—,—,—,0.00%,
Mav Beauty Brands Inc,YouTube,—,—,—,—,—,0.00%,
MakarttPro,Instagram,"54,127 ","1,101 ",—,3 ,0 ,0.06%,
MakarttPro,TikTok,"218,400 ",878 ,232 ,—,0 ,1.06%,
MakarttPro,YouTube,—,—,—,—,—,0.00%,
Moérie Beauty,Instagram,"9,592 ","1,124 ",—,53 ,0 ,5.53%,
Moérie Beauty,TikTok,"6,725 ",720 ,"852,300 ",—,38 ,126741.71%,
Moérie Beauty,YouTube,—,—,—,—,—,0.00%,
Modelones,Instagram,"108,607 ","2,382 ",—,17 ,1 ,0.17%,
Modelones,TikTok,"714,500 ","1,724 ","478,000 ",—,27 ,669.04%,
Modelones,YouTube,"8,420 ",539 ,283 ,4 ,1 ,3.42%,
Naisture,Instagram,"21,239 ",343 ,—,13 ,3 ,0.75%,
Naisture,TikTok,25 ,6 ,641 ,—,0 ,25640.00%,
Naisture,YouTube,—,—,—,—,—,0.00%,
SONGMICS HOME,Instagram,"62,081 ","2,638 ",—,0 ,0 ,0.00%,
SONGMICS HOME,TikTok,"36,500 ",617 ,"168,200 ",—,96 ,4610.85%,
SONGMICS HOME,YouTube,—,—,—,—,—,0.00%,
The Lakeside Collection,Instagram,"13,653 ","2,046 ",—,1 ,0 ,0.07%,
The Lakeside Collection,TikTok,—,—,—,—,—,0.00%,
The Lakeside Collection,YouTube,—,—,—,—,—,0.00%,
YouCopia,Instagram,"21,086 ",396 ,—,2 ,0 ,0.09%,
YouCopia,TikTok,354 ,142 ,"1,037 ",—,0 ,2929.38%,
YouCopia,YouTube,"1,380 ",111 ,110 ,2 ,0 ,8.12%,
Bradshaw Home,Instagram,—,—,—,—,—,0.00%,
Bradshaw Home,TikTok,—,—,—,—,—,0.00%,
Bradshaw Home,YouTube,—,—,—,—,—,0.00%,
Spreetail,Instagram,"2,965 ",367 ,—,6 ,0 ,2.02%,
Spreetail,TikTok,—,—,—,—,—,0.00%,
Spreetail,YouTube,52 ,69 ,3 ,0 ,0 ,5.77%,
Everything Kitchens,Instagram,"19,398 ","1,540 ",—,4 ,0 ,0.21%,
Everything Kitchens,TikTok,"18,600 ","1,058 ","2,500,000 ",—,270 ,134423.12%,
Everything Kitchens,YouTube,"35,100 ",322 ,"5,997 ",57 ,20 ,17.30%,
Enchanté Accessories,Instagram,617 ,298 ,—,6 ,1 ,11.35%,
Enchanté Accessories,TikTok,—,—,—,—,—,0.00%,
Enchanté Accessories,YouTube,—,—,—,—,—,0.00%,
Blue Sky®,Instagram,"74,920 ","3,509 ",—,38 ,6 ,0.59%,
Brickell Brands LLC,YouTube,"3,500 ",176 ,274 ,2 ,0 ,0.57%,
Brickell Brands LLC,Instagram,"39,115 ","2,654 ",172 ,9 ,0 ,0.23%,
Brickell Brands LLC,TikTok,"2,532 ",155 ,108 ,—,0 ,42.65%,
Caldera + Lab,Instagram,"133,525 ",283 ,—,22 ,0 ,0.16%,
Credo Beauty,Instagram,"248,324 ","5,322 ",—,31 ,1 ,0.13%,
Credo Beauty,TikTok,"7,789 ",616 ,526 ,—,1 ,67.66%,
Credo Beauty,YouTube,"4,960 ",724 ,979 ,23 ,0 ,4.64%,
Fineline Beddings Inc,Instagram,"7,848 ",847 ,79 ,11 ,2 ,1.66%,
Homecourt,Instagram,"156,798 ",710 ,—,49 ,0 ,0.31%,
Homecourt,TikTok,"21,900 ",230 ,"1,800,000 ",—,90 ,82195.89%,
L'ange Hair,Instagram,"759,370 ","3,204 ","2,546 ",21 ,1 ,0.03%,
L'ange Hair,TikTok,"93,700 ",821 ,"6,200,000 ",—,59 ,66169.25%,
L'ange Hair,YouTube,"5,410 ",105 ,627 ,15 ,0 ,2.77%,
Melting Forest,Instagram,"17,075 ",699 ,—,5 ,0 ,0.29%,
Melting Forest,TikTok,771 ,56 ,423 ,—,1 ,549.94%,
Melting Forest,YouTube,87 ,14 ,"1,391 ",10 ,0 ,114.94%,
MONDO MONDO,Instagram,"70,690 ","1,067 ",—,376 ,30 ,5.74%,
MONDO MONDO,TikTok,335 ,14 ,319 ,—,0 ,952.24%,
Morovan Store,Instagram,"457,255 ","2,111 ","20,566 ",293 ,3 ,0.65%,
Morovan Store,YouTube,"634,000 ",423 ,"85,365 ","1,254 ",11 ,2.00%,
Morovan Store,TikTok,"1,400,000 ","2,330 ","3,393 ",—,0 ,2.42%,
The Green Kiss 🇨🇦,Instagram,"9,858 ","3,141 ",—,1 ,0 ,0.10%,
Timeless Skin Care,YouTube,222 ,59 ,"1,875 ",16 ,0 ,72.07%,
