,,,,,,,,,,,,,,,,,,,,,,
Empresa,Industria,Categoria,Fecha Prospección,Prospectado por,Clasificacion,Num. Empleados,Country,Ubicacion,Ingresos Estimados,Tienda online,Pagina Web,Pagina De Instagram,Pagina De Twitter X,Pagina De Facebook,Pagina De Pinterest,Canal De Youtube,Pagina De Linkedin,Pagina De Tiktok,Email De Contacto,Telefono De Contacto,Estadisticas,Rival
Good Molecules,"Health, Wellness & Fitness",acne consumer goods,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,130,Estados Unidos,Philadelphia,"$707,321",https://www.amazon.com/dp/B01MT6RJRU,https://www.goodmolecules.com,https://instagram.com/goodmolecules,,https://facebook.com/goodmolecules,,,,,support@goodmolecules.com,+1 2134-444-663,go ->,go ->
Mad Hippie,"Health, Wellness & Fitness",natural skin care organic products,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,20,Estados Unidos,"700 S Lamar Blvd, Austin, Texas 78704","$503,540",https://www.amazon.com/dp/B005IXQLDE,https://madhippie.com,https://www.instagram.com/madhippiebeauty,https://www.tiktok.com/@madhippie,https://www.facebook.com/madhippiebeauty,,,,,sales@madhippie.com,2073-708-755,go ->,go ->
Black Girl Sunscreen,"Health, Wellness & Fitness",personal care product manufacturing,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,28,Estados Unidos,"Los Angeles, US","$354,995",https://www.amazon.com/dp/B0CV9R8DTK,https://blackgirlsunscreen.com,https://instagram.com/blackgirlsunscreen,https://twitter.com/BlkGrlSunscreen,https://facebook.com/blackgirlsunscreen,,,https://www.linkedin.com/company/blackgirlsunscreen/,https://www.tiktok.com/@blackgirlsunscreen,customerexperience@blackgirlsunscreen.com; you@domain.com; contact@blackgirlsunscreen.com; marketing@blackgirlsunscreen.com; canadasupport@blackgirlsunscreen.com; jazmine@blackgirlsunscreen.com,+1 8332-474-968; 1773-954-230; 8477-759-331; 1763-407-256; 1774-290-088,go ->,go ->
ArtNaturals,"Health, Wellness & Fitness",hair care essential oils skin care,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,36,Estados Unidos,"16325 S Avalon Blvd, Gardena, CA 90248, US","$308,943",https://www.amazon.com/dp/B012Q4M3DO,https://artnaturals.com,https://instagram.com/artnaturals,,https://www.facebook.com/artnaturalsUSA,,,,https://www.tiktok.com/@artnaturals,info@artnaturals.com; wholesale@artnaturals.com,4508-089-463; 6849-049-417; 8314-202-161; 1713-513-354,go ->,go ->
Mav Beauty Brands Inc,Manufacturing,Hair Care & Styling,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,110,Canada,"100 New Park Place, Vaughan, Ontario L4K0H9, CA","$249,400",https://www.amazon.com/dp/B09GW5JWCH,,https://www.instagram.com/mav_beautybrands/,,,,,,,sun@mavbeautybrands.com; jdemeo@mavbeautybrands.com,+1 8882-958-856,go ->,go ->
MakarttPro,Mechanical Or Industrial Engineering,Mechanical Or Industrial Engineering,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,19,Estados Unidos,"Dallas, Texas, US","$157,999",https://www.amazon.com/dp/B0BK7Z259G,https://makarttpro.com,https://instagram.com/makarttpro,,,,,,https://www.tiktok.com/@makarttpro,support@makarttpro.com; evan@makartt.com,+1 9453-911-828; +1 8559-819-198; 8326-685-622; 1762-824-176; 4588-779-529; 4668-404-026,go ->,go ->
Moérie Beauty,"Health, Wellness & Fitness",Cosmetics,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,30,Estados Unidos,"2035 Sunset Lake Rd, Newark, Delaware 19702, US","$98,938",https://www.amazon.com/dp/B07WLKV8MJ,https://moerie.com/about/,https://www.instagram.com/moeriebeauty/,,https://www.facebook.com/MoerieBeauty/,,,,https://www.tiktok.com/@moeriebeauty,info@moerie.com; kristupas@moerie.com,1133-319-731; 3242-459-533; 2190-629-659; 6322-886-503,go ->,go ->
Modelones,Nail Art & Pro Beauty,Cosmetics,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,4,Estados Unidos,"100 N Howard St STE R, Spokane, WA, 99201-0508, United States","$85,514",https://www.amazon.com/dp/B0BQ6V9K3B,https://modelones.com,http://instagram.com/modelones/,,https://facebook.com/modelones,https://www.pinterest.com/modelonesofficial/_created/,https://www.youtube.com/channel/UCuvnQMcrkLTUXfvWREL26tw,,https://www.tiktok.com/@modelonesofficial,support@modelones.com; pr@modelones.com; wholesale@modelones.com; business@modelones.com; BENM2023@126.com,+861 7306-670-901,go ->,go ->
Naisture,beauty & skincare,Cosmetics,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,6,Estados Unidos,"Whittier, California 90601, US","$54,708",https://www.amazon.com/dp/B07KY49QSD,https://naisture.com,https://www.instagram.com/naisture/,,https://www.facebook.com/naistureusa,,,,https://www.tiktok.com/@naisture,sunny@naisture.com; hello@naisture.com; mkt@weekendglow.com; partner@naisture.com; naistureusa@gmail.com,7999-552-018; 4444-444-444; 0387-169-604; 6610-395-417,go ->,go ->
SONGMICS HOME,Manufacturing,Furniture & Home,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,220,Canada,"8291 Milliken Ave. Rancho Cucamonga, CA 91730",$20–25M,https://www.walmart.com/ip/Adjustable-Closet-Organizer-System-4-8-ft-Metal-Shelving-Unit-with-6-Rods-6-Shelves-414-lb-Capacity-Cloud-White/17287910709?classType=REGULAR,https://naisture.com,https://www.instagram.com/songmicshome/,,https://www.facebook.com/SONGMICSHOME,,,https://www.linkedin.com/company/songmicshome/?viewAsMember=true,https://www.tiktok.com/@songmicshome,b2b@songmicshome.com; pr@songmicshome.com; support@songmicshome.com,+00863 7168-860-521,go ->,go ->
The Lakeside Collection,Home Decor & Gifts,Design,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,21,Estados Unidos,"Lakeside Collection 200 Tri State International Suite 100 Lincolnshire, IL 60069","$38,745",https://www.amazon.com/stores/TheLakesideCollection/page/7CB9B327-0CFD-4338-BFFD-E2184BBA0942,https://www.lakeside.com,https://www.instagram.com/thelscollection/,https://x.com/LSCollection,https://www.facebook.com/thelakesidecollection,https://www.pinterest.com/lakesidecollect/,,,,service@lakeside.com,8474-443-150,go ->,go ->
YouCopia,Mechanical Or Industrial Engineering,storage organization,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,12,Estados Unidos,"4410 N. Ravenswood Avenue, Suite 102, Chicago, IL 60640, US","$22,306",https://www.amazon.com/stores/YouCopia/page/CF60E7EF-CB56-4478-8024-246E7428EC2E,https://youcopia.com,http://instagram.com/YouCopia,,https://www.facebook.com/YouCopia,https://www.pinterest.com/youcopia/,https://www.youtube.com/YouCopia,,https://tiktok.com/@youcopia,support@youcopia.com; danny@youcopia.com,8889-739-288,go ->,go ->
Bradshaw Home,Mechanical Or Industrial Engineering,Mechanical Or Industrial Engineering,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,40,Estados Unidos,"Bradshaw Home 10760 4th Street Suite 100 Rancho Cucamonga, California 91730","$12,719",https://www.amazon.com/Home-Kitchen-Bradshaw/s?rh=n%3A1055398%2Cp_89%3ABradshaw,https://bradshawhome.com,,,,,,https://www.linkedin.com/company/bradshawhome/,,info@bradshawhome.com; sabrina.caruso@bradshawhome.com; simpson@bradshawhome.com,9094-763-884,go ->,go ->
Spreetail,Retail,Warehouse,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,840,Estados Unidos,"2021 Transformation Dr, Suite 2500, Lincoln, NE 68508, US",$1B+,https://www.walmart.com/seller/101012345,https://www.spreetail.com/,https://www.instagram.com/spreetail/,https://twitter.com/spreetail,https://www.facebook.com/spreetail/,,https://www.youtube.com/channel/UC4wfMY3SjLSETsI6o2J9pmg,https://www.linkedin.com/company/spreetail,,hello@spreetail.com; eu-ce@spreetail.com; partners@spreetail.com,+1 8666-399-320,go ->,go ->
Everything Kitchens,Retail,Mechanical Or Industrial Engineering,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,45,Estados Unidos,"6820 W Kings St, Springfield, Missouri 65802, US",$25M - $50M,https://www.walmart.com/seller/101011223,https://www.everythingkitchens.com,https://www.instagram.com/everythingkitchens/,https://twitter.com/everythingkitch,https://www.facebook.com/everythingkitchens,https://pinterest.com/everythingkitch/,https://www.youtube.com/channel/UCwYZDdP6KqlDBYRvn1QwMtA,https://www.linkedin.com/company/everything-kitchens,https://www.tiktok.com/@everythingkitchens/,info@everythingkitchens.com,+1 8668-524-210; 4178-870-779; 4178-870-729; 8668-524-268,go ->,go ->
Enchanté Accessories,Wholesale,Wholesale,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,300,Estados Unidos,"16 E 34th St, New York, 10016, US",$100M+,https://www.walmart.com/brand/enchante-accessories/101014567,https://enchanteaccessories.com,https://www.instagram.com/enchante_cosmetics/,,,,,https://www.linkedin.com/company/enchante-accessories-inc/,,contact@ench.com; info@enchanteaccessories.com,+1 2126-895-353,go ->,go ->
